,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-11.566065,-13.434809,8.400505,0.030415475,-7.501664,4.538637,-7.1337647,-11.253239,-3.426869,-3.159261,-9.824524,1.1835101,1.4762774,3.6511128,4.327414,-8.800001,3.182056,3.330128,1.965844,-4.1955776,3.6703873,7.8565326,0.34700555,4.697152,-0.59420836,-1.0533092,1.1012827,-0.24630801,-0.6762482,0.839432,3.1294522,1.1796029,0.9276438,0.9519388,-4.480866,-0.2535087,0.9214385,1.7171072,2.1286662,-2.5923722,-1.0961074,1.4627748,-3.4760978,-0.539674,-0.6706109,-0.7757177,-0.25282353,-1.0782683,-0.78351086,1.1742166,-2.420016,0.31866777,-0.7849633,-3.2414176,-0.027515145,-1.8720908,1.9794815,0.690334,0.46837044,-0.29310504,-0.56852984,-0.704224,0.37043294,-0.942076,-3.011891,1.5682105,-1.3120601,-0.014567509,-0.9891959,-1.9375043,0.98355424,-0.65392184,2.0702572,1.2620428,-1.8182068,-0.3185161,0.10112226,-0.19698133,0.188497,-0.6271249,-0.52304596,-1.1234043,-0.33642355,1.1230339,0.16092724,-0.93482894,0.7119602,2.3408217,-0.38571984,-0.65803605,-0.7735008,1.3762954,0.99794394,1.0116053,0.6860702,0.15738076,0.86545753,1.2453476,-0.06370011,3.066858,-0.43332657,-0.86565924,0.009002026,0.09321718,0.1918602,0.61058015,-1.561217,0.21644789,0.7428069,0.8555396,0.7586591,-0.7805837,-0.2918776,-1.5977658,1.4157615,-1.0474669,-1.0080757,0.65832245,1.0640526,1.2275827,-0.43219727,0.34376276,-0.03927613,0.91354007,1.065696,-0.111301675,-0.025152877,0.972112,-1.6720197,-0.033679545,0.9004273,-0.50809723,0.2683405,0.2640445,-0.12406868,-0.0041199336,-0.7373043,-0.22257039,-0.11284736,-0.40589172,-0.2144708,0.5586558,1.3769042,0.34349248,0.39169186,0.2560447,-0.23769884,-1.1326218,0.079815835,-0.94915175,-0.1673162,-0.3584466,0.43808615,-0.2454308,-0.29099572,0.30999103,-1.2557049,-0.23866111,0.628623,0.8120667,-0.109813705,0.013552681,-0.072643906,0.94012475,-0.29275304,-0.730059,-0.7820088,-0.8513939,0.895503,0.31467834,-0.1750288,-0.80987805,0.77304673,0.004801836,1.2744757,-0.25371385,-0.37735382,0.25037676,-0.4383865,0.1784133,-0.042708755,-0.7843641,-0.6855035,0.24421756,-0.6199409,-0.23073438,0.106951326,-0.01643832,-0.10762645,0.30896243,0.6082012,0.35488787,0.3530824,-0.16127326,0.59607506,0.42849636,0.29558614,0.6359693,-0.075445175,-0.4091023
1,5.65216,2.9469528,10.40187,2.2902827,-0.75909096,-2.3660588,-14.421464,0.6455328,3.0794454,2.7991424,5.349657,11.367513,2.260385,3.4240646,7.268822,-2.7476668,2.4522417,3.69195,-0.33008543,-1.5297493,-7.6448,-4.8133364,7.2296805,1.554036,2.4377658,0.71684945,-0.8494449,-0.33375877,-1.6819597,-6.087152,-2.4401577,-0.29509807,1.3548378,-1.6274362,0.0010643601,0.96012306,-2.8319147,-1.9739727,1.5061496,0.6400256,2.3184881,-1.1773492,-1.3806009,0.72421,-2.077771,0.25743824,-0.5116576,0.8471714,-3.8900716,-0.6144035,0.3036199,1.9031829,0.5375083,1.002314,0.26328263,-1.7930954,0.45697108,-2.0546927,-0.9274771,0.08609502,-2.623266,1.3231626,-0.9419637,-0.7492993,-0.3044401,0.64890933,-0.07835856,1.3776637,0.014477193,-0.118039295,0.950619,1.800666,1.2152709,0.56050324,0.68206096,-1.1104804,0.092418894,-0.8890087,1.4619764,-0.11550066,0.039265007,0.9134898,0.08364367,-1.123111,-2.0689752,1.3895812,-0.6276345,0.4919377,-0.12749393,-1.2997314,-0.7478035,0.6732743,1.5755605,1.3868021,1.0639111,-0.2124797,-0.13315779,1.411793,-0.013146207,0.31845134,-0.41038758,0.84230095,-1.3227553,-0.21961728,-1.0119582,1.2243747,-0.28372705,0.627496,0.5128815,-1.1957611,0.699528,-0.5993329,0.46185648,-1.7941614,-0.82784,-1.0629181,-0.5827984,-0.8893617,-0.5126809,-1.6065311,-0.0084306,0.6687307,-0.62291706,0.39523816,-0.6823633,0.13488397,-0.6613598,0.68690836,0.050446086,-0.88290894,-0.6632506,0.03076294,0.43685374,-1.2864019,-0.9122534,-0.36168668,-0.541258,1.2228959,-0.123592615,0.085941404,0.4795224,0.57210684,0.46767914,-0.33560318,0.90921086,0.18629411,0.18348803,0.3690885,1.9484156,-0.12560025,1.1782101,-0.516157,-1.3517767,0.6910894,0.20720619,0.1669924,-0.23944515,-1.2694674,-0.18878415,0.7093117,0.36971274,-0.6974911,0.9185404,0.5520794,-0.122802414,0.21534544,-1.4736989,0.24377619,-0.3490047,-0.6942271,-0.6549494,-0.44514674,0.09770858,0.14532045,0.11626585,-0.40455645,0.6850201,-1.1753622,-0.3494192,0.28326622,-0.081636496,-0.45792305,0.3194294,0.28658295,-0.3314011,0.8068428,1.1364975,0.7232428,-0.1944777,0.40829876,0.63469803,-0.8875574,-0.39019963,-0.22019844,-0.7564834,0.08944149,-0.063056916,0.6278234,-1.4630588,-0.47675422
2,-0.9500165,-16.109167,1.2862902,6.392994,2.2398837,1.0366405,-14.698754,-1.7811489,10.079052,1.5149432,-0.57219946,11.325796,-4.5088863,4.9917364,1.2248105,-0.66523534,-3.3514514,2.7262747,2.709197,-1.4170715,-1.6042275,-0.32796144,-2.4290504,-0.1417149,1.1984085,-1.1767838,1.1495324,2.4948184,-1.7589539,-2.6851926,1.1495366,-3.4083395,-3.1676168,-1.3034722,-0.21771787,2.216911,1.1792892,0.01225809,-1.9929447,-1.0699103,0.68310577,1.1449178,2.4551442,-1.1123585,-0.0109236315,0.1735755,-0.65344954,1.3191036,-1.143301,-0.6986567,-0.08637493,-1.8051393,-3.8582027,-0.8217425,-1.5162288,2.3500957,0.055767685,0.53306943,3.0768943,-2.0666585,0.5995311,-1.12478,-0.37757173,0.22892325,2.456798,0.28560466,-1.1477237,2.0295515,0.10883957,1.7446834,0.01677072,1.0844737,0.6521888,-1.81609,0.19857419,0.12249361,1.353734,-2.243727,-1.6301757,-0.30496413,2.4004388,-1.5775939,1.481142,-0.601073,-0.053416584,-0.31132907,-1.4688154,-0.49603528,-0.58737814,1.237398,1.2401184,-0.5743902,1.1425419,-0.23512922,0.8414651,0.2959056,-0.8320178,-0.20117825,1.5309155,-1.2652371,0.7410013,-0.96517634,-1.3494221,-0.643505,-0.29988724,-0.21279043,-0.82119,-0.27885514,-1.2673342,0.24110696,0.73947877,0.5579769,-0.34304532,-0.47782165,-0.369647,-1.4354218,0.35203817,-1.2814658,-0.090144485,-0.30054802,-0.40910482,-1.2697486,1.2152034,0.14979161,0.38001978,0.16554804,-0.7430153,0.58469415,0.8520768,-0.06463933,0.5442153,-0.48039132,0.41076607,-0.116926,0.49337038,-0.09668429,-0.42881048,-0.25082138,-0.03624542,-0.06840724,-0.6604153,-0.6722754,0.3040049,-1.5580659,0.37384635,-0.67030525,-0.46005368,-0.3100649,0.53447264,0.5021218,0.38681906,0.30593836,0.8185799,0.3472479,-0.22600016,1.1565325,0.60495156,0.45685413,1.3054116,0.5214819,-0.69142276,0.9559306,-0.040944345,0.27455604,-0.9985107,-0.11938545,0.34314063,0.042617038,-0.30092692,0.23675314,0.19952838,-0.76218843,-0.07349266,-0.330882,0.065668695,0.57287484,-0.52176565,0.2997419,0.092250265,-0.24559154,0.19404085,1.261822,-0.22473691,-0.5188872,-0.6155258,1.0075967,0.06691456,-0.3674454,0.024803996,-0.53145784,0.34330058,-1.0277083,-0.8696889,0.480463,0.08666092,0.41930062,-0.8784999,-0.058086917,-0.82349217,0.03455454
3,-4.019167,2.9286492,24.382973,11.128935,-9.300581,-12.155833,-6.359875,3.807409,-2.907308,-9.086287,-1.914815,-3.0604918,-10.697756,-7.077378,-1.5843327,0.3715311,2.137104,0.48394078,-1.9928,0.70762235,-3.266159,-2.6817176,-4.2301054,-2.1152692,-1.9011239,-5.6377144,-1.6265539,2.4996853,-1.1910739,3.4754686,0.90039366,-1.4110063,0.2294139,3.195121,4.0117073,-2.0759773,-0.66894954,1.1655475,-0.69458354,1.4449975,-0.28932196,1.7074084,-0.48238206,-1.9293104,1.780443,0.12782466,-1.0169979,-2.2102249,3.8418148,-0.7691605,0.35958895,-0.8384299,1.5822762,1.1323348,1.7950726,1.4229329,-0.39356756,0.66989493,2.8305535,0.5807442,-1.4530325,1.0970547,2.116338,0.5563493,0.8250115,0.66181177,-1.0248346,-0.87976724,-1.0831652,-1.4622018,1.5346235,1.8052726,-1.1381078,1.850677,-1.1689334,-1.3378199,1.0600947,0.63257205,0.35637826,0.40669507,0.5563265,1.3770657,0.35188806,-0.0032036752,0.80264765,-0.4288035,-0.3951141,-1.2541398,1.1164939,-0.027334213,-0.82674193,0.82634306,1.4677632,1.0870012,-1.0092609,2.4603562,-0.22960663,-0.72538424,-2.0694995,-0.61534476,1.3018204,1.9980923,-1.606752,-0.20076793,-0.2503029,-0.57488257,-0.14690337,-0.26557112,0.30335885,-0.84698117,-0.63180745,-1.5889385,-0.44399375,0.5483277,0.16632195,-0.17657922,0.59107256,0.5593294,2.5702217,-0.8066512,-0.25851417,0.4348629,-1.3954352,0.10195595,-0.94592094,-0.8558976,-0.4393627,-0.19451188,-0.35514158,-1.153525,-0.06228883,-0.021505982,0.5484863,-0.23834726,-0.5553696,-0.5125289,-1.108808,0.0047041476,-0.19117123,-0.48995823,0.7536191,0.12278408,0.48282063,1.2638143,0.15917304,0.9132476,-1.0159495,0.325559,0.1089584,-0.537969,-0.451729,0.026782475,0.24178411,-1.2329524,0.37637922,0.548111,-0.20056781,-0.24203974,-0.7625247,0.54263675,0.73301035,-0.13976899,0.07240352,-0.341933,-0.64259785,1.0390513,-1.0160124,0.77532685,-0.14818,0.07801175,0.17770836,-0.38949084,-0.07514243,-0.35377926,-0.3559669,-0.34214598,-0.3026529,0.41087067,0.13848133,0.22090758,-1.0763344,0.00873346,-0.35204673,0.90602016,0.047866344,-0.50939286,-0.1669415,-0.28152046,0.41501367,-0.2551635,-0.07280654,-0.9890251,0.8344665,-0.22940917,-0.86780435,0.12679017,0.38722757,-0.48494804,-0.15534453,-0.7012801
4,-15.351564,-6.3292646,3.494555,-1.8854289,-4.3006535,4.9097023,5.9930415,-11.285619,2.581339,-12.194278,-1.563336,-1.5164144,7.46374,5.5534434,5.4544945,-1.5692549,0.4273263,-0.19501524,3.7639701,-0.35621488,-1.8283198,2.6232429,-0.001670815,-0.3326252,-2.1308231,3.6835659,-2.8832405,0.5755788,-1.36902,-1.4895085,1.4329151,3.1321692,-2.6014457,-1.0071279,-1.4482917,-2.8740106,1.2013253,0.32960624,-1.4258091,2.9783716,-0.0767087,-0.7659024,-1.9984143,0.826453,-2.4939995,2.4269927,1.884268,0.8385313,0.6057538,-3.8853934,-2.011584,1.3242897,-0.39000666,-1.7658927,-0.3709947,0.5251307,1.4022753,-0.11047976,1.6334698,-2.2202618,-0.3761385,1.5609844,0.28994226,-0.30726412,-2.2518396,-0.14433628,-1.9750435,-0.87590766,0.035355564,-0.2978037,0.1418753,0.64758074,0.8410431,-0.24914342,0.571128,0.84260476,-0.6635383,-0.6094777,2.2474074,0.88637346,-1.0279112,1.3966342,0.8544689,-0.1310487,-0.7966609,-0.6979541,1.7801713,-0.011025152,-0.20194024,1.9999887,-1.0147355,0.21132302,-0.29388484,-0.88487333,-0.64249,-0.7536721,-0.57147074,-1.528408,-0.425278,0.8977088,-1.2457324,-0.95155394,1.0915821,-0.04254158,0.6387081,-0.43363756,-1.5567484,1.1628206,0.24157311,0.63451755,-0.8860952,0.55130947,-0.7720814,-0.40782866,-0.17276211,-0.7545041,-0.25311416,-0.67520964,0.71411586,1.2879441,-0.81915224,0.5601413,-0.059357174,-1.0725302,-1.4365108,-0.34527528,0.59007907,0.02118799,0.42849678,0.282277,-0.33368197,-1.4695565,1.192253,0.38292247,-0.3134108,0.8779317,-0.1072378,-0.02159513,-0.2874778,-0.17020172,-0.93139225,-0.6856962,0.86791277,-0.07174776,-0.58232737,0.79608136,0.40315464,-1.1918087,0.6125115,0.4125914,0.21800712,0.14997777,0.61446345,0.73000014,0.7993576,0.9559757,-0.568982,0.5874614,-0.2727604,-0.06785532,-0.1550911,-0.33887023,-0.36605805,-0.32484683,1.0871484,1.2841481,0.026426047,0.452301,-0.059001483,-1.0218185,0.3798332,0.12068854,-0.024394292,-0.56119454,-0.080409534,1.1831025,0.81655055,0.20667659,0.096816614,0.12409638,1.0623099,-0.06283231,-0.06855372,-0.7056192,-0.62258583,-0.5479245,-0.15365693,0.22412032,0.4745544,-0.4329047,0.93941486,-0.36165303,0.99506587,0.12353747,-0.16113196,-0.5342425,1.0331922,0.023973227,0.2241354,-0.36050463
5,-18.260525,-13.371203,4.877301,-1.7479749,-5.267909,7.41072,-2.9179564,-4.6698747,2.400337,-3.9000537,-0.08030121,4.7846756,-3.300397,4.8144336,1.673118,-1.7808743,0.4306041,1.8241719,-0.73627716,-3.2715447,-2.9278057,-1.0661325,4.531834,-2.879011,-3.6771939,1.8747289,-1.9510801,2.9861813,-1.0908363,-2.2218745,-1.2375467,0.044493742,-0.07899888,2.689828,1.465888,2.402353,-0.4000227,2.2927108,1.3882395,-0.090280384,-2.3497252,-1.8110504,-1.0487261,-0.9990093,-1.7956254,-0.2021327,2.6936016,-3.7090468,1.7596772,-0.6699822,-1.1344954,-1.250079,2.508203,-0.36805564,-0.036033645,1.2282221,-0.20420168,-0.027976334,-0.30558038,0.39735538,-0.07572462,-1.0358063,-1.3580445,-0.34952894,0.12898514,0.29801935,-0.4682147,0.3928668,-0.6617963,0.84701544,-0.39832115,-2.1198895,-0.24697872,-0.17537847,0.73783904,0.66543174,0.979142,0.1988852,-0.92129457,-0.14800346,0.33140102,1.6395998,0.92428887,-0.7368636,0.23942621,0.592073,0.27252525,-0.7828881,0.57110196,-1.1669823,0.30987996,-0.24851474,-0.09781729,-1.029866,0.25409722,-0.5704305,-0.67462695,0.4918268,-0.089426234,-1.5350748,0.21885762,0.17851292,-0.14069334,0.7667554,-0.56004286,0.4346219,0.24033825,-0.7459958,0.40024316,0.6178538,0.47760585,1.1740127,-0.4721079,0.032853246,0.25772667,0.27058798,-0.16001919,0.10289896,0.32498053,0.5188029,0.9315233,-0.30642337,0.39590693,-0.3399549,0.11716432,0.72279215,-0.21502951,0.21271531,-0.4580465,-0.30041257,0.77959305,0.08289218,0.23603591,-0.26623854,-0.43890962,0.72737545,0.23159331,-0.7013967,0.17312115,0.31860447,0.23530686,-0.14324461,-0.54258287,0.3320387,1.0357499,-0.14063975,0.47473752,-0.43917906,-0.1938397,0.90881884,-0.2820468,0.48091885,-0.20453869,0.38258594,-0.052911833,-0.27659893,-0.35036677,0.1385659,0.4922579,-0.4035854,0.24913573,-0.013599753,-0.14553398,-0.7653074,0.16624787,0.18069988,0.082016096,0.8127512,-0.3874082,0.07569145,0.46637154,0.5923559,0.27490416,0.06683533,0.41792148,-0.11760388,-0.6434654,0.3693394,-0.23840258,-0.1581166,-0.29224432,-0.5213022,0.34298164,0.37290165,0.2036519,-0.4528906,0.41468108,0.52090037,-0.29240483,-0.46999663,0.2061316,0.18348859,-0.2969984,-0.040886074,0.26173484,-0.75806296,-0.43545473,-0.14366871,-0.73730886,0.15934904
6,6.151194,9.968068,14.878336,7.713451,9.00406,-3.0862267,-1.7953467,-6.584223,8.798823,5.457193,1.5090303,2.181848,7.650486,-1.8302121,-5.9821053,-2.1760907,3.4446461,-3.7400026,-1.0083847,2.2722917,1.0659673,-1.2323062,-0.1588179,-0.14078358,4.136126,-5.339381,-1.2471132,0.40361893,-2.359667,-0.60489327,0.3553905,3.3988032,2.2845926,-3.2332382,-0.86101794,-0.49854282,0.18078937,-0.352791,4.9256516,-2.260041,-0.8981017,-1.6516731,0.9867022,-0.56163263,-3.5399928,-0.96432924,-3.1765943,-0.22310936,-0.23702513,-1.5953937,1.0691144,0.20225382,-1.6584404,0.42128438,-0.47523552,-1.1142539,-2.1544878,1.6951997,-2.778859,-0.50897527,-0.58968925,-0.24236709,0.5491591,0.61768675,2.237258,0.204963,0.23591582,1.1093788,-0.3542781,0.7916466,-0.61201215,0.0041036457,2.2819664,-0.43028232,-1.5487218,2.2682924,-0.6521731,0.07421024,0.06410381,-0.55333924,-0.12604131,-0.78750885,-0.33672008,-0.06299115,0.8076151,0.32683402,0.12479082,0.76618445,-1.3414065,-0.16573243,0.6585715,0.024153762,-0.47343236,-0.6624578,1.1658931,0.18428737,-0.72390485,-0.18965723,0.29217348,0.5717432,-0.5927041,0.2595563,-0.7109655,-0.039311126,1.6210065,0.8976146,0.8199294,-0.3620878,1.6704385,0.27606305,0.8774817,0.19685516,0.72845256,0.31574765,-0.42066547,0.35041326,-0.386544,-0.109555736,0.065232165,-0.5784289,0.32535613,0.8690072,-0.007974952,-0.046110004,0.116245106,-0.037716582,0.6882229,0.04003778,0.07524559,-0.6313497,-0.5701376,-0.5828177,0.076149106,0.36455193,-0.09621945,0.8521934,0.97249025,-0.18551034,-0.0030850917,-0.5484234,0.6845648,-0.16968301,-0.8289919,0.8351256,-1.5576161,-0.05497107,0.42300645,-0.1193787,0.012501303,-0.6134547,-0.2865284,0.77996546,-0.24043083,-1.4551077,0.6473378,-0.7347344,-0.8715337,-0.106573924,0.23598823,-0.6427432,1.1678928,-0.12377279,-0.43579102,-0.240447,0.3238544,-0.34801722,-0.21808422,-0.40042603,0.22736934,-0.48569384,-0.29052836,-0.10544848,0.78354776,0.5109282,-0.57443976,0.4869563,0.037891313,0.70313334,-0.040874697,1.0224777,0.6384767,0.45783675,0.16055597,0.05824496,-0.30899397,0.02068168,0.2649902,0.8122086,-0.043946177,-0.6838001,-0.059601583,0.15366235,0.23726106,-0.54069304,0.15048563,-0.4139083,-0.2014068,-0.13560298,-0.10613696,-0.33241972
7,-8.841478,-14.0297785,10.12291,1.7647235,-6.0815897,9.760988,-8.429335,-5.636877,2.3706665,-3.0567064,-8.486084,3.687128,-2.4662921,6.6759777,2.2083092,-4.747706,5.250876,2.2542794,2.315354,-2.7721264,-1.5089791,8.023453,0.82451373,2.2544174,-1.0980433,-0.48526332,2.2363155,2.8269382,-2.3778267,-0.14964826,0.47538823,-2.3286312,-0.4886343,-1.064303,-1.913699,0.78976625,2.369201,2.5529647,0.29909623,-1.6351913,-1.0220658,1.5554578,-3.1125796,-1.528924,-0.7392378,0.13738054,-0.021028744,-1.840264,1.7920823,0.296773,-1.0116597,-1.0454817,-1.5311888,-1.4334909,0.25390252,-3.660592,0.6612057,0.48297974,0.472247,-2.1642866,-2.1299188,0.18901469,0.1844342,-0.31887463,-0.2742428,-0.04813701,-0.21072783,-1.1993479,-1.1818479,-0.9674762,0.33936566,-0.49889913,0.4413851,0.010917321,-2.2681794,-0.22228083,-0.7707828,-1.1720921,-0.6583109,-0.95668805,-0.45191526,0.27128705,-0.8364229,1.0576032,-0.5729878,0.18345833,0.23578402,1.7030461,0.120349735,0.4393076,-1.5727885,0.9688441,0.8067797,0.35360953,-0.4921816,-0.47438484,0.008194953,0.84297657,0.83230966,0.9061806,-0.61461425,0.20471409,-0.20558073,1.5552824,-0.055433184,0.47634766,-1.8683416,-0.10939452,0.64752215,1.3159273,1.0419405,-0.120445915,-0.13876507,-1.1018196,1.0461577,-1.2098801,0.3668527,0.69293255,0.77761453,0.2791289,0.4614961,-0.7153194,-0.42936325,0.857866,2.4159408,0.5600914,-1.0394499,-0.13463706,-0.6852194,-0.20616527,0.98053646,-1.1638932,1.0577557,-0.17418167,-0.14910294,0.46341652,-0.8392049,-1.5928789,0.77631676,0.19191277,0.5206064,0.74287456,0.14214808,-0.69135785,0.16555953,0.16357872,-0.12722272,-0.0010083616,-0.7654235,-0.89294636,0.16886249,0.44549692,-0.81934047,0.24600975,-0.582397,-0.19405049,-0.6285375,-0.75632775,0.096954584,-0.46702117,-0.16347727,0.12983015,1.083314,1.2506769,0.96853465,-0.22256225,0.6996359,0.2712768,0.6741346,0.6934291,0.13027531,-1.1399902,0.2660623,0.3339175,0.66259104,-0.1999656,-0.47803044,0.33326268,-0.0057823732,-0.21367526,-0.10269156,-0.06277141,-0.044786006,0.13731343,1.0316038,0.55135614,-0.2909421,-0.13370967,0.14422363,-0.9095615,0.19432136,0.44247973,-0.8219172,0.17939395,0.768095,0.4576866,0.105600715,-0.034760535,0.32674313,-0.19274636
8,-6.8593855,-4.1251254,11.735197,1.8549179,-11.946859,-0.07336448,-7.8165727,1.0615772,9.1517515,-6.3668075,2.2533917,4.2396545,-6.8586383,-2.3833785,5.3616734,2.957738,-0.9896317,0.864358,-1.9302744,2.3518522,-1.3934791,-1.3013316,-0.15689445,-0.60935026,1.7501706,0.24730766,0.9827003,1.3739043,-1.5714767,1.2266254,-2.006933,-1.1640748,1.8949289,0.6803737,0.6066231,0.94894004,-1.5415888,-3.2477329,2.5772977,-1.4810637,-0.19340323,1.5432464,2.2122827,-2.3857334,-0.43355426,0.3172102,1.8033867,-0.3028344,-1.5382483,-0.34480456,-0.72447646,-2.614385,-0.6467322,-0.2710145,0.5197417,2.1388712,2.461212,1.6693645,2.459716,1.1236272,-0.7586212,0.21858211,-0.22274658,-0.73061687,0.8103408,0.91207767,-0.4203449,-0.953271,1.4713826,0.1589243,-0.56197697,1.2518361,0.047353182,1.5960253,1.0155121,-2.4233,-1.0619597,0.015224025,0.16964914,1.0251303,1.5964824,-0.44691974,1.1515113,-0.22112605,0.65082943,-0.23916134,-0.27224994,-0.4941294,-0.47544977,-0.54526144,-0.8568921,-1.444775,-0.763186,0.48701409,0.36986536,-0.60603786,0.90463126,-0.35924292,0.09774183,-0.4046224,0.8351697,-1.4073602,0.62486964,-1.1134529,0.24666102,0.9130301,-0.010466479,-0.2329044,1.3611764,-0.8580544,-1.6307031,0.15158775,-0.85517716,1.3121207,-0.9130288,0.27232924,0.696804,-0.12556157,-1.0391365,-0.22717431,0.26980197,-1.1689997,-0.879688,-0.72650385,0.6556815,-0.6588408,-0.69683766,0.11210637,-0.93872947,-0.6320207,-0.8802709,-0.0024651736,0.22155273,1.1004153,0.65187544,0.18306445,0.22389552,1.0528495,0.27262285,-0.0073643327,1.4169524,1.3145995,0.1917077,0.24403106,1.2677068,-0.19167683,0.030797243,-0.31061012,1.9890139,-0.50288075,-0.9040015,-0.053684857,-0.047685966,-0.11087115,-0.49684504,-0.29789606,-0.20432203,0.4393487,0.16958429,0.53505564,0.13177101,-0.2762005,-1.155225,-0.5782486,-0.379143,-0.59223264,-0.09604547,0.4350605,0.24987286,0.68990004,0.75452495,0.11807611,-0.10081927,-0.5938351,1.1447989,-0.73483527,0.3447398,0.5572056,0.31134054,0.3447142,-0.0027359128,0.24200663,-0.16951057,-0.2776186,-0.57153976,0.11255017,0.2801649,0.258336,-0.13549305,-0.4108801,0.6831552,0.2508927,0.112622246,0.6524375,-0.44575363,-0.1427886,0.881564,-0.68645775,0.9587501,0.03710112
9,-2.5609777,6.8360353,14.43347,7.96293,-6.45862,-1.4849135,-2.3451784,-4.1278033,9.324457,-1.6213982,1.0010031,4.529187,-1.3762978,1.1149342,-3.370593,-3.7953024,-1.8975365,-1.655128,-1.4366646,0.85110956,-3.6838627,-1.2623749,1.474937,-0.23450527,-1.3515526,-6.1602526,2.1739404,-1.924551,-1.4982455,2.5612092,-1.0832202,0.8352979,0.24891783,-2.6829906,1.5531232,-2.1317132,-1.3800191,1.7704484,-0.8332713,-3.0246186,-0.61325973,1.6346054,1.1771023,0.26883504,-0.7356363,2.5212364,0.35179555,1.6829828,-0.7353306,-0.31169087,0.4001823,0.7846613,2.026013,1.5028049,-0.9006127,-0.9323482,0.6432482,-2.3155296,0.744619,0.1396063,-0.4449919,1.4835252,-0.39647532,0.116425104,0.5472847,-1.3536773,-0.29675376,0.06261283,1.1982365,0.027514577,-0.59694785,-0.2224578,1.5197968,0.0117342025,-2.6834707,-1.1323845,0.4185213,0.29029733,0.92066187,0.24568628,-1.0386933,-1.4056572,0.59342915,1.0617951,-2.3516307,-0.9169412,0.54254586,-0.17759748,0.24565904,0.5045352,-0.97531915,0.33417705,0.4759413,0.09084539,0.37189308,-0.07846714,-0.13725844,1.3963199,1.6476284,-0.65003425,0.9333743,-0.1571886,-0.5515578,-0.25852758,-0.42154196,0.17991188,-0.22474213,0.25094223,0.79686356,0.27676198,-0.38046348,-0.12402202,0.18114245,0.04769668,-0.39987046,-0.59534943,-0.20306039,-1.187365,-0.26924363,-0.57806975,0.12941778,-1.2586881,0.9374815,0.086916625,-0.04935202,-0.17166597,-0.36474884,-0.1934409,0.7197658,-0.2944211,0.70140314,0.5720787,-0.6642896,-0.014299482,0.36101538,-1.2542645,0.8777692,-0.59918165,0.3158635,0.03863898,0.98865694,-0.9781799,-0.17189792,-0.5627677,-0.3845981,0.9135951,0.08439748,0.5849131,-0.7752001,0.448233,0.47562397,-0.24268505,-0.7409436,-0.13485011,-0.7002711,-0.24329342,-0.3628394,-0.2524295,0.20196852,0.66895425,0.46306068,0.39831954,-0.46246344,-0.2233932,0.08237514,0.35811204,0.6003707,0.08270571,-0.033253096,-0.0667836,0.035808295,0.016068414,0.079951614,-0.16099209,0.45627034,-0.50749147,-0.35919917,-0.5452368,-0.08510643,0.025127634,-0.029434862,0.11933917,-0.38494468,-0.6440025,0.15517774,0.20594262,-0.92894804,0.5142286,0.05502186,-0.050669614,0.020040475,-0.038064163,-0.4545079,0.34068224,-0.073976226,0.5027869,1.0308816,0.1573911,0.22189574,-0.06921573
